,IEEE,00137A000001276C
,EP,01
,DeviceName,Z311G 1-3
,BeginTime,2014-10-01
,EndTime,2014-10-01

IEEE,EP,Intime,Lux
00137A000001276C,01,"10/1/2014 6:17:00 AM",346
00137A000001276C,01,"10/1/2014 6:17:59 AM",347
00137A000001276C,01,"10/1/2014 6:18:58 AM",346
00137A000001276C,01,"10/1/2014 6:19:57 AM",347
00137A000001276C,01,"10/1/2014 6:20:56 AM",347
00137A000001276C,01,"10/1/2014 6:21:55 AM",347
00137A000001276C,01,"10/1/2014 6:22:54 AM",346
00137A000001276C,01,"10/1/2014 6:23:53 AM",346
00137A000001276C,01,"10/1/2014 6:24:52 AM",347
00137A000001276C,01,"10/1/2014 6:25:51 AM",347
00137A000001276C,01,"10/1/2014 6:26:50 AM",347
00137A000001276C,01,"10/1/2014 6:26:50 AM",347
00137A000001276C,01,"10/1/2014 6:28:48 AM",346
00137A000001276C,01,"10/1/2014 6:29:47 AM",347
00137A000001276C,01,"10/1/2014 6:30:46 AM",347
00137A000001276C,01,"10/1/2014 6:31:45 AM",347
00137A000001276C,01,"10/1/2014 6:32:44 AM",346
00137A000001276C,01,"10/1/2014 6:33:43 AM",346
00137A000001276C,01,"10/1/2014 6:34:42 AM",346
00137A000001276C,01,"10/1/2014 6:35:41 AM",347
00137A000001276C,01,"10/1/2014 6:36:40 AM",346
00137A000001276C,01,"10/1/2014 6:37:39 AM",347
00137A000001276C,01,"10/1/2014 6:38:38 AM",347
00137A000001276C,01,"10/1/2014 6:39:37 AM",347
00137A000001276C,01,"10/1/2014 6:40:36 AM",346
00137A000001276C,01,"10/1/2014 6:41:35 AM",347
00137A000001276C,01,"10/1/2014 6:42:34 AM",346
00137A000001276C,01,"10/1/2014 6:43:33 AM",346
00137A000001276C,01,"10/1/2014 6:44:32 AM",347
00137A000001276C,01,"10/1/2014 6:45:31 AM",347
00137A000001276C,01,"10/1/2014 6:46:30 AM",347
00137A000001276C,01,"10/1/2014 6:47:29 AM",346
00137A000001276C,01,"10/1/2014 6:48:28 AM",347
00137A000001276C,01,"10/1/2014 6:49:27 AM",347
00137A000001276C,01,"10/1/2014 6:50:26 AM",346
00137A000001276C,01,"10/1/2014 6:51:25 AM",347
00137A000001276C,01,"10/1/2014 6:52:24 AM",347
00137A000001276C,01,"10/1/2014 6:53:23 AM",346
00137A000001276C,01,"10/1/2014 6:54:22 AM",347
00137A000001276C,01,"10/1/2014 6:55:21 AM",347
00137A000001276C,01,"10/1/2014 6:57:19 AM",346
00137A000001276C,01,"10/1/2014 6:58:18 AM",347
00137A000001276C,01,"10/1/2014 6:59:17 AM",347
00137A000001276C,01,"10/1/2014 7:00:16 AM",347
00137A000001276C,01,"10/1/2014 7:01:15 AM",347
00137A000001276C,01,"10/1/2014 7:02:14 AM",347
00137A000001276C,01,"10/1/2014 7:03:13 AM",347
00137A000001276C,01,"10/1/2014 7:04:12 AM",347
00137A000001276C,01,"10/1/2014 7:05:11 AM",346
00137A000001276C,01,"10/1/2014 7:06:10 AM",347
00137A000001276C,01,"10/1/2014 7:07:09 AM",347
00137A000001276C,01,"10/1/2014 7:08:08 AM",346
00137A000001276C,01,"10/1/2014 7:09:07 AM",346
00137A000001276C,01,"10/1/2014 7:10:06 AM",347
00137A000001276C,01,"10/1/2014 7:11:05 AM",347
00137A000001276C,01,"10/1/2014 7:12:04 AM",347
00137A000001276C,01,"10/1/2014 7:13:03 AM",346
00137A000001276C,01,"10/1/2014 7:14:02 AM",347
00137A000001276C,01,"10/1/2014 7:15:01 AM",347
00137A000001276C,01,"10/1/2014 7:16:00 AM",347
00137A000001276C,01,"10/1/2014 7:16:59 AM",347
00137A000001276C,01,"10/1/2014 7:17:58 AM",347
00137A000001276C,01,"10/1/2014 7:18:57 AM",347
00137A000001276C,01,"10/1/2014 7:19:56 AM",347
00137A000001276C,01,"10/1/2014 7:20:55 AM",347
00137A000001276C,01,"10/1/2014 7:21:54 AM",347
00137A000001276C,01,"10/1/2014 7:22:53 AM",347
00137A000001276C,01,"10/1/2014 7:23:52 AM",348
00137A000001276C,01,"10/1/2014 7:24:51 AM",348
00137A000001276C,01,"10/1/2014 7:25:50 AM",348
00137A000001276C,01,"10/1/2014 7:26:49 AM",347
00137A000001276C,01,"10/1/2014 7:27:48 AM",348
00137A000001276C,01,"10/1/2014 7:28:47 AM",348
00137A000001276C,01,"10/1/2014 7:29:46 AM",348
00137A000001276C,01,"10/1/2014 7:30:45 AM",350
00137A000001276C,01,"10/1/2014 7:31:44 AM",350
00137A000001276C,01,"10/1/2014 7:32:43 AM",351
00137A000001276C,01,"10/1/2014 7:33:41 AM",351
00137A000001276C,01,"10/1/2014 7:34:40 AM",350
